"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1847448868478472688","Sat Oct 19 01:25:08 +0000 2024","30","Malah Ketawa Ngakak Di-roasting Komika Alip Baihak Sebut Pramono 'Woles' #JakartaMenyala #PrakarUntukJakarta https://t.co/w6OiBGyiDh","1847448868478472688","https://pbs.twimg.com/ext_tw_video_thumb/1847448831774048256/pu/img/SyHHv5V3HOyhy1Ow.jpg","","in","lokalisasi kelas teri","0","0","14","https://x.com/triwul82/status/1847448868478472688","2695463725","triwul82"
"1847448352444838098","Sat Oct 19 01:23:05 +0000 2024","0","Dukungan FBR &amp; Forkabi untuk Pramono Anung menjadi sinyal kuat bahwa perubahan positif dalam masyarakat Betawi bukan lagi sekadar harapan. Pramono adalah sosok yg mampu memenuhi ekspektasi masyarakat &amp; menjadikan Jakarta sebagai tempat yang lebih baik bagi semua #JakartaMenyala https://t.co/kMjacoyP0i","1847448352444838098","https://pbs.twimg.com/media/GaN0eXNaIAAoovH.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847448352444838098","1838601635993653253","thejoyofus"
"1847447832929911213","Sat Oct 19 01:21:01 +0000 2024","0","Dukungan FBR &amp; FORKABI bukti bahwa Pramono Anung bukan hanya sekadar calon tetapi pemimpin yg telah mendapatkan pengakuan dari 2 ormas terbesar di Betawi. Ini mencerminkan kepercayaan masyarakat terhadap kapasitas Pramono dalam memperjuangkan aspirasi mereka #JakartaMenyala https://t.co/D9RA2QYgM2","1847447832929911213","https://pbs.twimg.com/media/GaNz9_rbUAIAjL5.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847447832929911213","1838601635993653253","thejoyofus"
"1847447787291759070","Sat Oct 19 01:20:51 +0000 2024","17","Mas Pramono akan tetap melanjutkan program2 yg baik dari gubernur Jakarta terdahulu dan memperbaiki yg kurang. #JakartaMenyala #PrakarUntukJakarta https://t.co/34y9ysEbc6","1847447787291759070","https://pbs.twimg.com/ext_tw_video_thumb/1847447743968792583/pu/img/rlYjLVZekMtOZ9gw.jpg","","in","lokalisasi kelas teri","0","0","9","https://x.com/triwul82/status/1847447787291759070","2695463725","triwul82"
"1847447217201893590","Sat Oct 19 01:18:35 +0000 2024","3","selamat ulang tahun yg ke 73 kepada presiden terpilih pak prabowo subianto sehat selalu panjang umur dan semoga di bawah kepimpinanan beliau bangsa ini menjadi lebih baik dan persoalan² ekonomi dintuntaskan Aamiin #JakartaMenyala #PrakarUntukIndonesia https://t.co/BXJj8bGq1C","1847447217201893590","https://pbs.twimg.com/media/GaNzc7-bUAMLyXy.jpg","","in","","0","0","4","https://x.com/doctor__fabre/status/1847447217201893590","1227492565525491713","doctor__fabre"
"1847446923420279069","Sat Oct 19 01:17:25 +0000 2024","18","Jika dipercaya untuk memimpin Jakarta Pramono-Bang DOEL berkomitmen akan mengangkat dan memajukan budaya Betawi. #JakartaMenyala #PrakarUntukJakarta https://t.co/bHuplzJk4V","1847446923420279069","https://pbs.twimg.com/media/GaNzLirbUAYDVa_.jpg","","in","twitter.com","1","3","12","https://x.com/mulanbilqis/status/1847446923420279069","1138727688","mulanbilqis"
"1847445885363638437","Sat Oct 19 01:13:17 +0000 2024","0","Dengan dukungan 2 organisasi besar Betawi Pramono Anung diharapkan dapat membawa Jakarta menuju masa depan yang lebih baik. Ia memiliki visi yang jelas untuk mengatasi berbagai tantangan yang dihadapi Jakarta termasuk kebudayaan dan kesejahteraan masyarakat #JakartaMenyala https://t.co/74z5jOEBgD","1847445885363638437","https://pbs.twimg.com/media/GaNyOt8bUAQYMjC.jpg","","in","","0","0","0","https://x.com/SaguKeju8/status/1847445885363638437","1424746853346660357","SaguKeju8"
"1847445371997606115","Sat Oct 19 01:11:15 +0000 2024","0","Pramono Anung dikenal sebagai pemimpin yang mendengarkan dan memahami aspirasi masyarakat. Dalam berbagai kesempatan ia menunjukkan komitmennya untuk memperjuangkan kesejahteraan masyarakat Betawi #JakartaMenyala https://t.co/9Le0wJMY3r","1847445371997606115","https://pbs.twimg.com/media/GaNxv7cbIAAyd_C.jpg","","in","","0","0","0","https://x.com/SaguKeju8/status/1847445371997606115","1424746853346660357","SaguKeju8"
"1847445010205331550","Sat Oct 19 01:09:48 +0000 2024","0","Pasangan Pramono Anung dan Rano Karno dianggap sebagai duo ideal untuk memimpin Jakarta. Dengan latar belakang yang kuat dalam politik dan budaya mereka berdua memiliki potensi untuk membawa Jakarta ke arah yang lebih baik #JakartaMenyala https://t.co/PfRjhBZ0Qa","1847445010205331550","https://pbs.twimg.com/media/GaNxb9dbUAAlSjp.jpg","","in","","0","0","0","https://x.com/SaguKeju8/status/1847445010205331550","1424746853346660357","SaguKeju8"
"1847444769552880106","Sat Oct 19 01:08:51 +0000 2024","0","Dalam deklarasi dukungan Pramono berjanji untuk mengembangkan program-program yang akan mengangkat harkat dan martabat budaya Betawi menjadikannya sebagai bagian integral dari identitas Jakarta #JakartaMenyala https://t.co/Y3nZMJVEjH","1847444769552880106","https://pbs.twimg.com/media/GaNxNtebEAAizzJ.jpg","","in","","0","0","0","https://x.com/SaguKeju8/status/1847444769552880106","1424746853346660357","SaguKeju8"
